"","longitude","latitude","elevation","min_dist","min_dist_idx"
"280",-47.3646125793457,-20.2596454620361,1024,1301.52865514707,1334
"281",-47.3641128540039,-21.6129207611084,773,1544.49602732666,1503
"282",-47.3639526367188,-19.1144237518311,811,1533.26967741171,1619
"283",-47.3637313842773,-22.1333923339844,649,1259.33142779287,1479
"284",-47.3631362915039,-20.9359607696533,785,1010.20484223397,1535
"285",-47.3631172180176,-23.0180854797363,570,1111.58620519562,1438
"286",-47.3619117736816,-23.3820953369141,619,1149.10769278982,1421
"287",-47.3615875244141,-23.7462997436523,915,1283.58065929556,1404
"288",-47.3607978820801,-21.4559593200684,647,948.232310879817,1511
"289",-47.3606567382812,-22.4969825744629,627,1230.95335866196,1462
"290",-47.360424041748,-20.7791385650635,835,810.114683741562,1542
"291",-47.3599243164062,-21.9762802124023,601,1169.74118115333,1487
"292",-47.3586273193359,-19.7897319793701,1039,573.457999047865,1588
"293",-47.3583068847656,-22.8607330322266,587,1224.64553817445,1446
"294",-47.3576126098633,-21.2989845275879,747,415.39320292758,1518
"295",-47.3569107055664,-19.6331367492676,1047,967.71652607507,1595
"296",-47.3567810058594,-23.2246646881104,537,936.520568143921,1429
"297",-47.3564720153809,-22.3397483825684,634,735.695765916005,1470
"298",-47.3562622070312,-21.819149017334,667,378.457866721662,1494
"299",-47.3561401367188,-23.9530792236328,725,513.433860332919,1395
"300",-47.3559875488281,-23.5887508392334,961,692.040822144196,1412
"301",-47.3554382324219,-20.4656066894531,872,671.735682103954,1557
"302",-47.3553848266602,-19.4766216278076,1100,864.595848021752,1603
"303",-47.3537559509277,-22.7034168243408,545,400.496917495977,1453
"304",-47.3532257080078,-20.3089065551758,894,49.5673611804682,1564
"305",-47.3527526855469,-21.6621704101562,784,431.553136681491,1501
"306",-47.3525657653809,-19.1636619567871,841,437.913502739249,1617
"307",-47.3523826599121,-22.1825923919678,617,139.108737744908,1477
"308",-47.3517684936523,-23.0672645568848,583,245.251619546929,1436
"309",-47.3517417907715,-20.9852237701416,826,966.884483712408,1533
"310",-47.3513336181641,-19.0072364807129,893,1078.46300794901,1624
"311",-47.3505973815918,-23.4312877655029,607,333.314096460118,1419
"312",-47.3502731323242,-23.7954959869385,1045,470.375294385155,1402
"313",-47.3493003845215,-22.5461616516113,624,555.520453711348,1460
"314",-47.3491325378418,-19.9955863952637,735,1171.81343723085,1579
"315",-47.3490447998047,-20.8283729553223,717,551.089435762736,1540
"316",-47.3485679626465,-22.0254802703857,618,907.690837866308,1484
"317",-47.3472328186035,-19.8389587402344,1065,789.937343800552,1586
"318",-47.3469543457031,-22.9099254608154,606,910.459390244632,1443
"319",-47.3464736938477,-20.6715888977051,733,845.881475242959,1547
"320",-47.3462181091309,-21.3481884002686,709,972.619555434761,1516
"321",-47.3455467224121,-19.6823883056641,1111,871.020319174763,1593
"322",-47.3454208374023,-23.2738513946533,562,1194.76850207282,1426
"323",-47.3450889587402,-22.3889484405518,680,1365.49385239283,1467
"324",-47.3448753356934,-21.8684196472168,607,1322.09265973098,1492
"325",-47.3446807861328,-23.6379566192627,863,1413.17673497674,1409
"326",-47.3440818786621,-20.5147972106934,993,1458.21100694521,1554
"327",-47.3432350158691,-21.1913013458252,653,1084.80751775057,1523
"328",-47.3424873352051,-19.3693695068359,1063,1394.40354299999,1840
"329",-47.342399597168,-22.7526264190674,575,1514.3486785772,1683
"330",-47.3413848876953,-21.711368560791,730,989.347803657935,1731
"331",-47.3411560058594,-19.2128810882568,889,966.709649530895,1847
"332",-47.3403968811035,-23.1164321899414,582,1183.1688095803,1666
"333",-47.339958190918,-19.0564727783203,932,886.282827349503,1854
"334",-47.3397064208984,-20.201416015625,797,781.17228190419,1801
"335",-47.3392715454102,-23.4804515838623,671,938.861924700208,1649
"336",-47.3389472961426,-23.844654083252,1007,791.91780383351,1632
"337",-47.337947845459,-22.5953750610352,594,699.988628076463,1690
"338",-47.3376235961914,-20.8775691986084,703,1105.68479929602,1770
"339",-47.3371887207031,-22.074686050415,605,523.774281408225,1714
"340",-47.3358535766602,-19.8881683349609,1080,1167.9515596136,1816
"341",-47.335620880127,-22.9591293334961,553,370.911632100891,1673
"342",-47.3351097106934,-20.7207927703857,746,416.38907450667,1777
