,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
100361,-22.3708000183105,-43.5892906188965,0.0018384113282081,3.99654636566993e-05,2.48281485255575e-05,38619.7424677195,11.804184247056636
100362,-22.363697052002,-43.5539016723633,0.0016229747925535,3.52820607076865e-05,2.42754704231629e-05,38220.7070669523,9.730364318301156
100363,-22.3565998077393,-43.5184516906738,0.0009599653749319,2.08688124985201e-05,1.75913246494019e-05,38186.8041447509,14.505089994735526
100364,-22.3495082855225,-43.4829444885254,0.0004267672120477,9.27754808799364e-06,1.54909157572547e-05,36616.3644198533,20.79166789802391
100365,-22.3424205780029,-43.4473724365234,0.0001425980944986,3.09995857605827e-06,1.45160156534985e-05,33786.5930552054,69.86579142855155
100367,-22.3282585144043,-43.376033782959,9.66566190072626e-05,2.10123084798397e-06,1.31479682750069e-05,28767.8905231178,47.628554101887104
100368,-22.3211822509766,-43.3402671813965,0.0014725642904522,3.20122671837453e-05,1.98104971786961e-05,26705.3548470575,15.790551947649284
100370,-22.3070430755615,-43.2685165405273,2.48380167704454e-05,5.3995688631403e-07,1.33151952468324e-05,23877.3863982863,21.642205607732063
100372,-22.2929153442383,-43.1964683532715,0.0007816616380296,1.69926443049917e-05,1.49046454680501e-05,23293.6767041213,39.7359383895181
100376,-22.2646865844727,-43.0514297485352,0.0009950699277396,2.16319549508626e-05,1.76521007233532e-05,20045.138521266,166.16155380801104
100377,-22.2576332092285,-43.0149612426758,0.0003404120889172,7.40026280254824e-06,1.1563419320737e-05,16668.0497622909,33.39711397038912
100379,-22.2435302734375,-42.9417572021484,7.84580797699164e-05,1.70561042978079e-06,9.55834912019782e-06,10907.2149554073,24.670579736374588
100381,-22.2294273376465,-42.8681831359863,0.000452352940556,9.83375957730459e-06,1.25245514936978e-05,8962.87365145412,24.15580673728141
100384,-22.2082691192627,-42.7570991516113,8.17659970380191e-05,1.77752167473955e-06,1.0552825187915e-05,15865.7851990989,77.59286455843213
100386,-22.1941604614258,-42.6825294494629,0.0003243477995056,7.05103911968763e-06,9.42714723350946e-06,22840.6508676018,47.62110233352799
100387,-22.1871032714844,-42.6450843811035,0.000102221367797,2.22220364776149e-06,1.0619603926898e-05,24771.56705382,41.00047532258695
100388,-22.1800422668457,-42.6075325012207,0.0005275442599668,1.14683534775395e-05,1.09706870716764e-05,20798.9165586232,26.12630731435285
100668,-23.2052307128906,-47.4859809875488,0.0035034889588132,7.6162803452462e-05,2.68359071924351e-05,8317.57782085089,201.45845507796417
100669,-23.1952514648438,-47.446533203125,0.0050178546953247,0.0001090837977244,3.60154081135988e-05,12485.6533485256,10.656678598387233
100670,-23.1853275299072,-47.4072341918945,0.0030352667090483,6.59840588923544e-05,2.71619373961585e-05,15609.5171689027,13.196330297114002
100671,-23.1754608154297,-47.3680801391602,0.004672415627283,0.000101574252767,3.64682273357175e-05,11495.3272596346,28.662637920977385
100672,-23.1656475067139,-47.3290672302246,0.0058680073707364,0.0001275653776247,4.35085785284173e-05,7432.57186680879,1073.3471861712335
100673,-23.1558895111084,-47.2901954650879,0.0030190236720955,6.56309493933804e-05,2.66742827079725e-05,3682.77878055384,634.8445946798558
100674,-23.146183013916,-47.2514572143555,0.0041559321689419,9.03463514987379e-05,3.02458720398135e-05,1691.37207389854,504.005305146693
100675,-23.1365299224854,-47.2128562927246,0.0039013270579744,8.48114577820525e-05,2.90936841338407e-05,2537.96075680483,1011.4759395069169
